	word	anim	nonanim	concr	abstr
0	shrimp_NOUN	0.6657434105873108	0.5778928995132446	0.7138152718544006	0.16764625906944275
1	crab_NOUN	0.690248966217041	0.5300552845001221	0.6784481406211853	0.18005482852458954
2	tomato_NOUN	0.5257648229598999	0.6975720524787903	0.6772971749305725	0.1972840130329132
3	scallop_NOUN	0.6123290061950684	0.581008791923523	0.666501522064209	0.17927396297454834
4	chicken_NOUN	0.6532107591629028	0.5207396745681763	0.6637760400772095	0.13744524121284485
5	mussel_NOUN	0.6399598121643066	0.5424616932868958	0.6602910757064819	0.18041273951530454
6	lobster_NOUN	0.6543859243392944	0.5227907299995422	0.655273973941803	0.17046895623207092
7	oyster_NOUN	0.6285775899887085	0.5503695607185364	0.6512981653213501	0.17733152210712433
8	onion_NOUN	0.4836932718753815	0.6715039014816284	0.6463968753814697	0.1938283145427704
9	potato_NOUN	0.4903886318206787	0.6705219149589539	0.6446327567100525	0.19960083067417145
10	garlic_NOUN	0.4832412600517273	0.653290331363678	0.6422420740127563	0.220781609416008
11	goat_NOUN	0.6712848544120789	0.4469601511955261	0.6403766870498657	0.20185962319374084
12	turtle_NOUN	0.6646534204483032	0.414340078830719	0.6390053629875183	0.1802011877298355
13	cabbage_NOUN	0.4974749982357025	0.6618399620056152	0.6356798410415649	0.2019915133714676
14	berry_NOUN	0.5200611352920532	0.6636500954627991	0.6334191560745239	0.20598657429218287
15	peach_NOUN	0.4945979118347168	0.683043897151947	0.6283932328224182	0.19530491530895236
16	pig_NOUN	0.6589091420173645	0.37513336539268494	0.6259962320327759	0.18912968039512634
17	beet_NOUN	0.4971300959587097	0.6499403715133667	0.6248067617416382	0.184758260846138
18	catfish_NOUN	0.6401709914207458	0.4388271272182465	0.6237607002258301	0.15370337665081024
19	bird_NOUN	0.6493383646011353	0.3759991228580475	0.6212755441665649	0.17639273405075073
20	rabbit_NOUN	0.6581243276596069	0.3945418298244476	0.6204483509063721	0.21193018555641172
21	vegetable_NOUN	0.5141513943672179	0.6351960301399231	0.6201243400573729	0.19386442005634308
22	fish_NOUN	0.6516565084457397	0.4454986155033112	0.6173339486122131	0.16497640311717987
23	frog_NOUN	0.6492612957954407	0.3812766075134277	0.6144388318061829	0.1920785456895828
24	melon_NOUN	0.5017764568328857	0.6503626108169556	0.6128840446472168	0.1942823827266693
25	bean_NOUN	0.4935275018215179	0.6350788474082947	0.6128174066543579	0.1926434636116028
26	sheep_NOUN	0.6571923494338989	0.3976101279258728	0.6112261414527893	0.17336753010749814
27	pear_NOUN	0.4655862748622894	0.6584064364433289	0.6052794456481934	0.213687464594841
28	fillet_NOUN	0.5224016904830933	0.545329213142395	0.6004772782325745	0.15544892847537994
29	pea_NOUN	0.4875543117523194	0.657198965549469	0.6001182794570923	0.20012767612934115
30	deer_NOUN	0.6097832918167114	0.3480975031852722	0.5999378561973572	0.1725820004940033
31	tuna_NOUN	0.6062962412834167	0.4855514466762543	0.5974404215812683	0.1563463807106018
32	dill_NOUN	0.4835100769996643	0.6170672178268433	0.5956730246543884	0.22308330237865448
33	artichoke_NOUN	0.4584042429924011	0.6185905337333679	0.5939324498176575	0.17729559540748596
34	raccoon_NOUN	0.6355182528495789	0.3745562434196472	0.5935467481613159	0.22816157341003415
35	salad_NOUN	0.466458261013031	0.61073237657547	0.5928884744644165	0.21658413112163544
36	truffle_NOUN	0.5039935708045961	0.5951644778251648	0.5890150666236877	0.20143893361091614
37	filet_NOUN	0.5281317830085754	0.5412343740463257	0.587516188621521	0.1981705725193024
38	veal_NOUN	0.5509544610977173	0.5259099006652832	0.5874346494674683	0.15963302552700046
39	basil_NOUN	0.4438461363315582	0.6142449975013733	0.5858875513076782	0.19121013581752774
40	olive_NOUN	0.4637739658355713	0.6541414260864258	0.5856702923774719	0.2044366300106049
41	animal_NOUN	0.6031529307365417	0.3328034579753876	0.5841846466064453	0.21614184975624084
42	mushroom_NOUN	0.4973341524600983	0.5710663795471191	0.5835133194923401	0.192981630563736
43	squirrel_NOUN	0.6193320155143738	0.3737940788269043	0.5817692875862122	0.2478143870830536
44	chile_NOUN	0.4675752520561218	0.579305112361908	0.5811039209365845	0.1830393373966217
45	meat_NOUN	0.5648952722549438	0.5017508268356323	0.5808723568916321	0.1878465861082077
46	cheese_NOUN	0.4735531806945801	0.576809287071228	0.579163670539856	0.22193583846092224
47	watermelon_NOUN	0.4761971831321716	0.6205302476882935	0.5786980390548706	0.18876364827156067
48	chili_NOUN	0.4753384590148926	0.5612412691116333	0.5786006450653076	0.2106252908706665
49	lamb_NOUN	0.5512086153030396	0.5102742910385132	0.5773252248764038	0.17602495849132538
50	venison_NOUN	0.5545355677604675	0.5115177035331726	0.5772326588630676	0.1752977967262268
51	shellfish_NOUN	0.5799044966697693	0.4523999094963074	0.5772145986557007	0.17726624011993408
52	seafood_NOUN	0.5653418302536011	0.4431699812412262	0.5771843791007996	0.16290134191513062
53	fig_NOUN	0.4590571522712708	0.6252174377441406	0.5754575133323669	0.21169869601726526
54	lizard_NOUN	0.6292012929916382	0.37756893038749695	0.5745509266853333	0.2264638692140579
55	sauce_NOUN	0.4415318965911865	0.5703572630882263	0.573703408241272	0.2182057648897171
56	honey_NOUN	0.4989700317382813	0.5795006155967712	0.5733305811882019	0.21858839690685272
57	egg_NOUN	0.4723474085330963	0.5373919010162354	0.5721684098243713	0.1821921318769455
58	pasta_NOUN	0.446296751499176	0.5756584405899048	0.5721491575241089	0.20754142105579376
59	alligator_NOUN	0.5973398089408875	0.35171228647232056	0.5720207691192627	0.1902156621217728
