	word	moscow_concr	moscow_abstr	kazan_concr	kazan_abstr
0	наволочка	0.4480366557836533	0.13314022198319436	0.22032172828912736	0.12491677701473235
1	салфетка	0.4403899759054184	0.10928507372736933	0.2533603340387344	0.10388606190681456
2	плед	0.4321615308523178	0.12836574465036393	0.22987914234399795	0.14962829127907756
3	омлет	0.4272657990455627	0.1388622596859932	0.2189086467027664	0.12647850513458253
4	одеяло	0.42290449142456055	0.13365260288119316	0.23754478842020035	0.13264981284737587
5	сумочка	0.4145331174135208	0.12628450319170953	0.26020649671554563	0.13788193166255952
6	скатерть	0.4122459918260574	0.13441368862986566	0.25086917281150817	0.1194869078695774
7	винтовка	0.4108273714780808	0.13460111990571022	0.2285911828279495	0.10630343556404112
8	шарф	0.4039102762937546	0.1251886732876301	0.2187420457601547	0.1306723579764366
9	соус	0.4031516134738922	0.1514949008822441	0.1990177661180496	0.13556004092097282
10	бутылочка	0.4027809351682663	0.11494753435254094	0.2849936977028847	0.12967765256762506
11	полотенце	0.4024210542440415	0.10987650007009506	0.2377083301544189	0.11419556736946106
12	дробовик	0.4015377104282379	0.14277057647705074	0.23866555988788604	0.1021979033946991
13	пистолет	0.4013169705867767	0.11301330104470253	0.24395878463983536	0.10068419799208643
14	баночка	0.4011751443147659	0.13211073130369186	0.2684426859021187	0.12546772807836531
15	кинжал	0.40031695663928973	0.17234543710947034	0.2617883369326591	0.15965104401111602
16	кастрюля	0.3995724052190781	0.1181215524673462	0.23604915887117384	0.11877352520823478
17	блинчик	0.3992121577262878	0.1463464006781578	0.2428654357790947	0.12975372672080993
18	ружье	0.3991748511791229	0.1272565171122551	0.22358347326517106	0.11053624898195266
19	салат	0.3989205628633499	0.14852047935128213	0.21273223608732225	0.13334668800234795
20	лампочка	0.3966338098049164	0.15359097421169282	0.2153419852256775	0.1334230735898018
21	йогурт	0.3962963357567787	0.1263541705906391	0.21379077881574632	0.11832501962780953
22	шарфик	0.3958498865365982	0.14534469917416573	0.2298910900950432	0.15159603506326674
23	платок	0.3957325607538224	0.13804551512002944	0.2588873118162155	0.14424733072519302
24	пюре	0.3951801046729088	0.12763853073120118	0.20953557193279265	0.1148753061890602
25	десерт	0.3942946672439575	0.15974756628274914	0.2266603454947472	0.15968043804168702
26	покрывало	0.3941323846578598	0.16408803761005405	0.22457927763462066	0.16048972606658934
27	пододеяльник	0.3940607607364655	0.13207489550113674	0.2046303927898407	0.1129812978208065
28	маринад	0.3936942428350448	0.12994049936532975	0.20297395139932636	0.1219326987862587
29	запеканка	0.39367729872465135	0.15507813543081286	0.21538441628217694	0.12407064139842988
30	желе	0.39364717304706576	0.14957494139671326	0.220492559671402	0.1379072353243828
31	оладья	0.3929835930466652	0.15140437632799147	0.2282238304615021	0.13144123554229736
32	сумка	0.3924911588430405	0.10490888133645056	0.23746467232704166	0.11573989391326905
33	сметана	0.3894647106528282	0.14579846784472467	0.2248081624507904	0.13116440922021866
34	ветчина	0.3890636831521988	0.14332905560731887	0.2346330538392067	0.1234401673078537
35	суп	0.3889123201370239	0.13386930227279664	0.21958969831466674	0.12422427609562875
36	корзинка	0.3867963641881943	0.12574522718787193	0.2738723620772362	0.12952436432242392
